Time,AirFlow
0.8,0.2825225758741052
1.6,0.3214432951278155
2.4,0.28969509215080896
3.2,0.2694935107228191
4,0.2569663626874921
4.8,1.4994745607243891
6,3.2962586041323316
7,2.187136145701646
7.8,2.1517278581046253
8.6,2.1132400475851085
9.4,2.0793085336504213
10.2,2.0247733300088013
11.0,1.9885578210600936
11.8,1.9780537907516134
12.6,1.9064236034806619
13.4,1.8905060810819518
14.2,1.8576640902430106
15.0,1.7930783233094658
15.8,1.771772982609803
17.8,1.67842571638514
18.6,1.658766144260598
19.4,1.643464746324048
20.2,1.6531974967713094
21.0,1.6235078532894522
22,1.5865928618746732
22.8,1.5981305472578304
23.6,1.628113083258969
24.4,1.6614037253995149
25.2,1.6917218261359226
26.0,1.7007035788100666
27,1.7175866067410948
27.8,1.7076414800184427
28.6,1.6597572899145983
29.4,1.6830775978974448
30.2,1.6599140247774022
31.0,1.6330215676292734
31.8,1.647141886849927
32.6,1.6020281426057597
33.4,1.617088536452998
34.2,1.5917774857081837
35,1.6211797112674597
35.8,1.5890644599414265
36.6,1.5774038598515896
37.4,1.5915882646917667
38.2,1.609565524663547
39.0,1.5985989583241382
39.8,1.5872161655357282
40.6,1.5929598842791086
41.4,1.6139306456969649
42.2,1.5885188435208821
43.0,1.627775301761937
43.8,1.6006495700161232
44.6,1.601319826730896
45.4,1.5842676833737672
46.2,1.5839380006218864
47.0,1.6121613273643018
47.8,1.6278572644813083
48.6,1.575849501099012
49.4,1.593342033326333
50.8,1.5009833652379247
51.6,1.4094622861393549
52.4,1.3274159395902245
53.2,1.2310790066196222
54.0,1.103854461210564
55,0.973891708654689
55.8,0.9435782006560378
56.6,0.9074801209193528
57.4,0.8771924356095343
58.2,0.8234351753283216
59.0,0.7437545585379423
60,0.6974716140188578
60.8,0.669985632818204
61.6,0.6243891754905766
62.4,0.6096807780469063
63.2,0.5561632940843523
64.0,0.5448301860853346
64.8,0.5187573259011894
65.6,0.4801413746072386
66.4,0.4297515193216189
67.2,0.40795273417188666
68.0,0.4001180491985717
68.8,0.3271882631676765
70.8,0.28463238270243363
71.6,0.2776713291475328
72.4,0.3075306693903888
73.2,0.31378736479525904
74.0,0.27201158585399554
74.8,0.2987161991771293
75.6,0.31162534902585476
76.4,0.2948612659517598
77.2,0.2948436804174226
78.0,0.3096157886778917
78.8,0.27733678245388116
79.6,0.27346718954616445
80.4,0.32947839252525857
81.2,0.2844686295459894
82.0,0.3026705655108115
82.8,0.29975447492017404
83.6,0.3237411307333844
84.4,0.2934163270897875
85.2,0.27233757509125056
86.0,0.2751314330406496
86.8,0.3236828768061887
87.6,0.28428607936226913
88.4,0.3129308499295432
89.2,0.3044327835361952
90.0,0.29217473357442975
90.8,0.2938674474251667
91.6,0.32237201457383985
92.4,0.27453960945501493
93.2,0.28327253482312514
94.0,0.3180458468843722
94.8,0.29838498815410175
95.6,0.28781376854218366
96.4,0.29450287462741165
97.2,0.319210566796611
98.0,0.31638568621906626
98.8,0.27661763838182996
99.6,0.3266974833118876
100,0.3216682307605291
