Time,Temperature
0.8,26.33383976193788
1.6,26.56349758672244
2.4,26.442829154124944
3.2,27.011027655238795
4,27.032677606561553
4.8,26.575591100811504
5.6,26.567743934438393
6.4,26.701784701498177
7.2,26.335331183998733
8,26.3275668397183
9,41.994343770436316
10,53.00749687470571
11,60.07751659094957
12,65.05525033825707
13,70.10878152192288
14.2,74.80057894520327
15.0,78.09420569085248
15.5,79.95589707642382
16.3,81.64778759695976
17,83.19561723944604
17.8,83.94211272686259
19,85.37416588769223
19.8,85.79397391814543
20.6,86.71242831183456
21.4,87.31180111573728
22,88.11648444977196
22.8,88.38797051554918
23.6,88.84478561550684
24.4,89.12776277667398
25,88.53501667998229
25.8,89.34897280052988
26.6,89.55081013507186
27.4,89.38215034498597
28.2,89.90254311341599
29.0,89.42902387808495
30,90.05530678029587
30.8,89.91856541765073
31.6,89.736445419845
32.4,89.36704586160897
33.2,90.34725027224486
34.0,89.87649291628482
34.8,90.08579065092377
35.6,89.88381047556231
36.4,89.94092646353013
37.2,90.32911978520588
38.0,90.5394953318838
38.8,89.52369036193846
39.6,89.2662648828512
40.4,89.92467943711931
41.2,90.60639251085558
42.0,90.0933675475841
42.8,89.97533199838169
43.6,90.04226880228944
44.4,90.37809440113041
45.2,89.66176025924334
46,90.56250087697003
46.8,83.98582590944592
48,74.93471120960882
49,69.98249304541666
49.8,67.15147951619925
51,62.9064372684664
52,62.740092716053056
53,69.8644347325339
53.8,73.22296410286036
54.6,76.39457338984978
55.5,79.93331201057929
56.3,81.647084179897
57,82.7994454039201
57.8,83.81109778940481
59,84.78871497228631
59.8,85.8026474503752
60.6,86.68843880010257
61.4,87.51158220819828
62,88.16123140301048
62.8,88.25745999149413
63.6,88.42194782316749
64.4,89.03223160693061
65,88.8430692873723
65.8,89.22919525010442
66.6,89.29811521132278
67.4,89.16283301991183
68.2,88.99344982045831
69.0,89.5157489266211
69.8,89.33276051378043
70.6,89.74778508311796
71.4,89.57671066420546
72.2,89.61638294528719
73.0,89.81349807912902
73.8,89.93489250490748
74.6,89.9828534872243
75.4,89.55102652969941
76.2,89.38472044654844
77.0,89.42992666448669
77.8,89.50366214606036
78.6,90.22335742640874
79.4,89.78975298865193
80,90.14812962809454
80.8,90.1001216443516
81.6,89.98956891384316
82.4,89.66547191651756
83.2,90.32860183341931
84.0,90.28427008950429
84.8,90.34217266722735
85.6,89.64646298739869
86,89.8903419065215
86.8,84.01001107802091
88,74.94505305878718
89,69.94992469630529
89.8,67.19661669228708
91,63.05206154313242
91.8,60.98140321092978
93,58.067976481491435
93.8,55.98781619795474
94.6,54.04463801721227
95.4,52.05912512647696
96.2,50.05167409324658
97,48.02468226288166
97.8,46.85541587726056
98.6,45.796756914621064
99.4,44.71227550262022
100,43.88513615811033
100.8,43.2215238358773
101.6,42.31951118657503
102.4,41.58625293042005
103.2,40.912425986579656
104.0,39.918212581895595
105,39.08701975300861
105.8,38.38457547645317
106.6,37.724400440947285
107.4,37.039910479058676
108.2,36.521906625608636
109.0,35.73906344399937
110,35.07892734453115
110.8,34.671552792287606
111.6,34.19436640893422
112.4,33.68510331542566
113.2,33.349928058049635
114.0,32.87978406394705
114.8,32.605625199002
115.6,32.22363105811278
116.4,31.870135023405506
117.2,31.4815981848823
118.0,31.018927829989124
118.8,30.72786063788527
120,29.80167297909782
120.8,29.80258278017513
121.6,29.702134293362853
122.4,29.429649333409287
123.2,29.513821951200462
124.0,29.04849639235806
124.8,29.037049012548795
125.6,28.924097232965572
126.4,28.829987204157312
127.2,28.563102085205152
128.0,28.46568301964086
128.8,28.087290084438436
129.6,28.164365650913556
130.4,28.06434545214457
131.2,27.716877024263326
132.0,27.643174151024542
132.8,27.3412526645343
133.6,27.21371532412881
134.4,27.069199686737512
135.2,27.074123244637942
136.0,26.696933681068575
136.8,26.48136956028767
137.6,26.521572767112936
138.4,26.337550220772474
139.2,26.278901050127242
140,25.993649139776632
140.8,25.857157520234413
141.6,25.77626746817306
142.4,26.25331436814804
143.2,26.15615846874872
144.0,25.30126551319418
144.8,26.54606661686719
145.6,25.24472153857555
146.4,26.02280121767502
147.2,25.927817181662327
148.0,26.28597404367006
148.8,26.407345121529676
150,24.896610584040403
150,24.959279777729265
